uniprot_id,gene_symbol,short_name,background_setting,height,Sex,Politics,Skintone Hue ,Skintone Saturation,Skintone Lightness,hexcode,Aesthetics,Age,hexcode
P25445,FAS,FAS,,38,Male,pro-Control,69,39.0,69.8,#b8aa84,Spy Fiction; Paramilitary,45.7,#b8aa84
P31749,AKT1,PKB,,56,Female,pro-Growth,0,14.0,8.4,#1f1618,Athlete,39.6,#1f1618
P31751,AKT2,PKB beta,,56,Female,pro-Growth,0,20.0,7.9,#201416,Athlete,40.1,#201416
P35222,CTNNB1,CTNNB1,,85,Female,pro-Growth,28,10.0,8.0,#1b1716,,45.6,#1b1716
P38936,CDKN1A,MDA-6,,18,Female,Opportunist,28,20.0,73.2,#c7afa8,,100.0,#c7afa8
P42336,PIK3CA,PI3-kinase subunit alpha,,124,Female,pro-Growth,208,23.0,8.8,#151a1b,Cargopunk,15.0,#151a1b
P42345,MTOR,mTOR,,289,Female,pro-Growth,166,34.0,0.1,#000000,Athlete; Cargopunk,19.3,#000000
P42574,CASP3,CASP-3,,32,Female,Maintenance,28,33.0,53.5,#a27668,Wuxia,38.6,#a27668
P42771,CDKN2A,CDK4I,,17,Female,pro-Control,28,71.0,89.6,#f7dbd4,,43.6,#f7dbd4
P46531,NOTCH1,Notch 1,,273,Male,Opportunist,180,37.0,2.7,#060b0a,,58.9,#060b0a
P46937,YAP1,Yes-associated protein 1,,54,Female,Opportunist,332,21.0,34.3,#634958,,92.9,#634958
P56704,WNT3A,WNT3A,,39,Female,Maintenance,305,93.0,20.7,#5a0a5d,Junglecore,29.0,#5a0a5d
Q00987,MDM2,Hdm2,,55,Female,pro-Growth,166,25.0,15.4,#202826,Cargopunk,69.2,#202826
Q01094,E2F1,E2F-1,,47,Female,Opportunist,55,68.0,66.9,#c69c5b,Dark Academia,64.3,#c69c5b
Q02750,MAP2K1,MAP kinase kinase 1,,43,Female,Maintenance,166,26.0,24.2,#313c39,Athlete,31.6,#313c39
Q07812,BAX,Bcl2-L-4,,21,Male,Opportunist,14,24.0,24.5,#503332,Atompunk,25.5,#503332
Q07817,BCL2L1,Bcl2-L-1,,26,Male,pro-Growth,14,17.0,22.0,#44302f,Minimalism; Constructivism,42.1,#44302f
Q07820,MCL1,Bcl2-L-3,,37,Male,pro-Growth,166,25.0,50.2,#687c76,,58.3,#687c76
Q13131,PRKAA1,AMPK subunit alpha-1,,64,Female,pro-Control,208,20.0,18.0,#272d2e,Athlete; Cargopunk; Atompunk,41.7,#272d2e
Q13315,ATM,A-T mutated,,351,Female,pro-Control,0,36.0,42.1,#91505e,Athlete; Constructivism; Salvagepunk,20.0,#91505e
Q13535,ATR,ATR,,301,Female,pro-Control,0,38.0,2.6,#130608,Athlete; Salvagepunk,16.9,#130608
Q15116,PDCD1,Protein PD-1,,32,Male,Maintenance,208,82.0,55.4,#3b909d,Paramilitary,58.7,#3b909d
Q15465,SHH,SHH,,50,Female,Maintenance,249,79.0,23.4,#1a395c,Wuxia; Junglecore,62.1,#1a395c
Q16236,NFE2L2,NF-E2-related factor 2,,68,Female,Maintenance,180,20.0,58.9,#80918f,Dark Academia; Atompunk,100.0,#80918f
Q16611,BAK1,Bcl2-L-7,,23,Male,Maintenance,14,32.0,65.9,#c79492,Atompunk,27.0,#c79492
Q8N726,CDKN2A,ARF,,14,Female,pro-Control,28,71.0,89.6,#f7dbd4,,100.0,#f7dbd4
Q8TDV0,GPR151,GalRL,,47,Male,Maintenance,83,,96.0,,Corporate Memphis,35.8,
Q96EB6,SIRT1,hSIRT1,,82,Female,Opportunist,249,23.0,18.1,#282c35,Constructivism; Atompunk,54.9,#282c35
Q9GZV5,WWTR1,WWTR1,,44,Female,pro-Growth,305,26.0,76.1,#ccb4ce,,92.5,#ccb4ce
Q9NZQ7,CD274,PD-L1,,33,Male,Maintenance,28,56.0,38.6,#814e3a,Paramilitary,38.6,#814e3a
Q9UM47,NOTCH3,Notch 3,,244,Male,pro-Control,180,34.0,39.5,#4c615e,,63.5,#4c615e
