uniprot_id,gene_symbol,short_name,full_name,mass,length,domain_count,chain_tiling_segments,alignment,domains_top3,locations,keywords,Has transmembrane domains,transmembrane_count,biological_process,first_letter,kegg_families,membrane_depth,percent_disordered,rvis_percentile,tissue_tau
P01375,TNF,TNF-a,Tumor necrosis factor,26,233,1,3,unknown,THD,cell surface; external side of plasma membrane; extracellular region; extracellular space; membrane raft; neuronal cell body; phagocytic cup; plasma membrane; recycling endosome,,Yes,1,,T,Cytokines and neuropeptides; Glycosaminoglycan binding proteins,0,33.5,47.23209445,0.83
P02671,FGA,FGA,Fibrinogen alpha chain,95,866,4,2,unknown,"Fibrinogen C-terminal; Alpha-chain polymerization, binding distal domain of another fibrin gamma chain; Disordered",blood microparticle; cell surface; collagen-containing extracellular matrix; endoplasmic reticulum; endoplasmic reticulum lumen; external side of plasma membrane; extracellular exosome; extracellular region; extracellular space; extracellular vesicle; fibrinogen complex; plasma membrane; platelet alpha granule; platelet alpha granule lumen,,No,0,Adaptive immunity; Blood coagulation; Hemostasis; Immunity; Innate immunity,F,Exosome; Glycosaminoglycan binding proteins,0,51.6,12.22817903,0.91
P04406,GAPDH,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,36,335,2,2,unknown,Interaction with WARS1; [IL]-x-C-x-x-[DE] motif,cytoplasm; cytosol; extracellular exosome; GAIT complex; intracellular membrane-bounded organelle; lipid droplet; membrane; microtubule cytoskeleton; nuclear membrane; nucleus; perinuclear region of cytoplasm; plasma membrane; ribonucleoprotein complex; vesicle,,No,0,Apoptosis; Glycolysis; Immunity; Innate immunity; Translation regulation,G,Membrane trafficking; Exosome,1,26.9,23.69736763,0.27
P04439,HLA-A,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",41,365,7,6,unknown,Ig-like C1-type; VL9 epitope; Alpha-1,cell surface; early endosome membrane; endoplasmic reticulum; endoplasmic reticulum exit site; endoplasmic reticulum membrane; ER to Golgi transport vesicle membrane; external side of plasma membrane; extracellular exosome; extracellular space; Golgi apparatus; Golgi medial cisterna; Golgi membrane; lumenal side of endoplasmic reticulum membrane; membrane; MHC class I peptide loading complex; MHC class I protein complex; phagocytic vesicle membrane; plasma membrane; recycling endosome membrane,,Yes,1,Adaptive immunity; Host-virus interaction; Immunity; Innate immunity,H,Exosome; Glycosylphosphatidylinositol (GPI)-anchored proteins,1,35.9,,0.28
P04637,TP53,TP53,Cellular tumor antigen p53,44,393,25,1,tumor_suppressor,Interaction with CCAR2; Interaction with HRMT1L2; Transcription activation (acidic),centrosome; chromatin; cytoplasm; cytosol; endoplasmic reticulum; germ cell nucleus; mitochondrial matrix; mitochondrion; nuclear matrix; nucleolus; nucleoplasm; nucleus; PML body; protein-containing complex; replication fork; site of double-strand break; transcription regulator complex; transcription repressor complex,,No,0,Apoptosis; Biological rhythms; Cell cycle; Host-virus interaction; Necrosis; Transcription; Transcription regulation,T,Transcription factors; Chromosome and associated proteins; DNA repair and recombination proteins,3,78.4,42.39503644,0.26
P05019,IGF1,IGF-I,Insulin-like growth factor 1,22,195,5,4,tumor_suppressor,B; C; A,alphav-beta3 integrin-IGF-1-IGF1R complex; exocytic vesicle; extracellular region; extracellular space; glutamatergic synapse; insulin-like growth factor binding protein complex; insulin-like growth factor ternary complex; neuronal dense core vesicle lumen; platelet alpha granule lumen; postsynapse,,No,0,,I,Cytokines and neuropeptides,0,73.8,59.30365641,0.44
P05231,IL6,IL-6,Interleukin-6,24,212,0,0,unknown,,endoplasmic reticulum lumen; extracellular region; extracellular space; interleukin-6 receptor complex,,No,0,Acute phase,I,Cytokines and neuropeptides,0,42.9,43.88892235,0.53
P06400,RB1,Rb,Retinoblastoma-associated protein,106,928,10,1,tumor_suppressor,Disordered; Pocket; binds T and E1A; Domain A,chromatin; chromatin lock complex; cytoplasm; cytosol; nucleoplasm; nucleus; PML body; Rb-E2F complex; spindle; SWI/SNF complex,,No,0,Cell cycle; Host-virus interaction; Transcription; Transcription regulation,R,Protein phosphatases and associated proteins; Transcription factors,3,33.5,16.78814529,0.2
P10145,CXCL8,IL-8,Interleukin-8,11,99,0,0,unknown,,extracellular region; extracellular space,,No,0,Chemotaxis; Inflammatory response,C,Cytokines and neuropeptides; Glycosaminoglycan binding proteins,0,46.5,53.01487862,0.68
P10415,BCL2,BCL2,Apoptosis regulator Bcl-2,26,239,6,0,oncogene,Disordered; Required for interaction with SEPTIN4 isoform ARTS. Required XIAP-mediated ubiquitination and apoptosis; BH4,BAD-BCL-2 complex; cytoplasm; cytosol; endoplasmic reticulum; endoplasmic reticulum membrane; membrane; mitochondrial outer membrane; mitochondrion; myelin sheath; nuclear membrane; nucleus; pore complex; protein-containing complex,,Yes,1,Apoptosis; Autophagy,B,Protein phosphatases and associated proteins,2,44.8,38.6121318,0.4
P14780,MMP9,MMP-9,Matrix metalloproteinase-9,78,707,5,0,unknown,Fibronectin type-II 1; Fibronectin type-II 2; Fibronectin type-II 3,collagen-containing extracellular matrix; extracellular exosome; extracellular region; extracellular space; ficolin-1-rich granule lumen; tertiary granule lumen,,No,0,Collagen degradation,M,Peptidases and inhibitors,0,39.5,62.12878742,0.78
P15056,BRAF,BRAF,Serine/threonine-protein kinase B-raf,84,766,4,1,oncogene,RBD; Protein kinase; Disordered,cell body; centriolar satellite; ciliary basal body; cilium; cytoplasm; cytosol; glutamatergic synapse; intracellular membrane-bounded organelle; mitochondrion; neuron projection; nucleus; plasma membrane; postsynapse; presynapse,,No,0,,B,Protein kinases,1,44.3,9.547617613,0.22
P15692,VEGFA,L-VEGF,"Vascular endothelial growth factor A, long form",44,395,3,1,tumor_suppressor,Disordered; Disordered; Disordered,adherens junction; cell surface; cytoplasm; endoplasmic reticulum; extracellular matrix; extracellular region; extracellular space; Golgi apparatus; membrane; nucleus; platelet alpha granule lumen; secretory granule; VEGF-A complex,,No,0,Angiogenesis; Differentiation,V,Cytokines and neuropeptides; Glycosaminoglycan binding proteins,0,68.9,31.91976387,0.26
P16410,CTLA4,CTLA-4,Cytotoxic T-lymphocyte protein 4,25,223,4,3,unknown,Ig-like V-type; Homodimerization; Important for interaction with CD80 and CD86,clathrin-coated endocytic vesicle; external side of plasma membrane; Golgi apparatus; perinuclear region of cytoplasm; plasma membrane; protein complex involved in cell adhesion,,Yes,1,Adaptive immunity; Immunity,C,CD molecules,1,40.8,44.54550931,0.81
P22301,IL10,IL-10,Interleukin-10,21,178,0,0,unknown,,extracellular region; extracellular space,,No,0,,I,Cytokines and neuropeptides; Glycosaminoglycan binding proteins,0,27.5,68.97174869,0.71
P25445,FAS,FAS,Tumor necrosis factor receptor superfamily member 6,38,335,3,2,tumor_suppressor,Death; Interaction with HIPK3; Interaction with CALM,CD95 death-inducing signaling complex; cell surface; cytosol; death-inducing signaling complex; external side of plasma membrane; extracellular exosome; membrane raft; nuclear body; plasma membrane,,Yes,1,Apoptosis,F,Cytokine receptors; CD molecules,1,45.7,69.82109511,0.39
P31749,AKT1,PKB,RAC-alpha serine/threonine-protein kinase,56,480,5,1,oncogene,PH; Protein kinase; AGC-kinase C-terminal,cell cortex; cell-cell junction; ciliary basal body; cilium; cytoplasm; cytosol; glutamatergic synapse; lamellipodium; membrane; microtubule cytoskeleton; mitochondrial intermembrane space; mitochondrion; nucleoplasm; nucleus; plasma membrane; postsynapse; protein-containing complex; spindle; vesicle,,No,0,Apoptosis; Carbohydrate metabolism; Glucose metabolism; Glycogen biosynthesis; Glycogen metabolism; Neurogenesis; Sugar transport; Translation regulation; Transport,A,Protein kinases,1,39.6,8.433226914,0.14
P31751,AKT2,PKB beta,RAC-beta serine/threonine-protein kinase,56,481,3,1,oncogene,PH; Protein kinase; AGC-kinase C-terminal,cell cortex; cytoplasm; cytosol; early endosome; intracellular membrane-bounded organelle; nucleoplasm; nucleus; plasma membrane; ruffle membrane,,No,0,Apoptosis; Carbohydrate metabolism; Glucose metabolism; Glycogen biosynthesis; Glycogen metabolism; Sugar transport; Translation regulation; Transport,A,Protein kinases,1,40.1,7.891090898,0.2
P35222,CTNNB1,CTNNB1,Catenin beta-1,85,781,5,1,oncogene,Interaction with VCL; Disordered; Interaction with BCL9,"adherens junction; apical part of cell; apicolateral plasma membrane; basolateral plasma membrane; beta-catenin destruction complex; beta-catenin-ICAT complex; beta-catenin-TCF complex; beta-catenin-TCF7L2 complex; bicellular tight junction; catenin complex; cell cortex; cell junction; cell periphery; cell-cell junction; centrosome; ciliary basal body; cilium; cytoplasm; cytosol; euchromatin; extracellular exosome; fascia adherens; flotillin complex; focal adhesion; glutamatergic synapse; intracellular membrane-bounded organelle; lamellipodium; lateral plasma membrane; membrane; microvillus membrane; nucleoplasm; nucleus; perinuclear region of cytoplasm; plasma membrane; postsynaptic density, intracellular component; postsynaptic membrane; presynaptic active zone cytoplasmic component; presynaptic membrane; protein-containing complex; protein-DNA complex; Schaffer collateral - CA1 synapse; Scrib-APC-beta-catenin complex; spindle pole; synapse; transcription regulator complex; Wnt signalosome; Z disc",,No,0,Cell adhesion; Host-virus interaction; Neurogenesis; Transcription; Transcription regulation; Wnt signaling pathway,C,,1,45.6,8.035660502,0.1
P38936,CDKN1A,MDA-6,Cyclin-dependent kinase inhibitor 1,18,164,6,1,both,Required for binding cyclins; Required for binding CDKs; Disordered,cyclin-dependent protein kinase holoenzyme complex; cytoplasm; cytosol; nuclear body; nucleolus; nucleoplasm; nucleus; PCNA-p21 complex; protein-containing complex,,No,0,Cell cycle,C,,3,100.0,73.19438588,0.2
P42336,PIK3CA,PI3-kinase subunit alpha,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",124,1068,8,0,oncogene,PI3K-ABD; PI3K-RBD; C2 PI3K-type,"cytoplasm; cytosol; intercalated disc; lamellipodium; perinuclear region of cytoplasm; phosphatidylinositol 3-kinase complex; phosphatidylinositol 3-kinase complex, class IA; phosphatidylinositol 3-kinase complex, class IB; plasma membrane",,No,0,Angiogenesis; Lipid metabolism; Phagocytosis,P,Membrane trafficking,1,15.0,8.830793326,0.23
P42345,MTOR,mTOR,Serine/threonine-protein kinase mTOR,289,2549,10,1,oncogene,FAT; PI3K/PI4K catalytic; FATC,cytoplasm; cytosol; dendrite; endomembrane system; endoplasmic reticulum; endoplasmic reticulum membrane; Golgi membrane; lysosomal membrane; lysosome; membrane; mitochondrial outer membrane; nuclear envelope; nucleoplasm; nucleus; phagocytic vesicle; plasma membrane; PML body; serine/threonine protein kinase complex; TORC1 complex; TORC2 complex,,No,0,,M,Protein kinases; Membrane trafficking,2,19.3,0.090356003,0.34
P42574,CASP3,CASP-3,Caspase-3,32,277,0,0,unknown,,cytoplasm; cytosol; death-inducing signaling complex; glutamatergic synapse; neuronal cell body; nucleoplasm; nucleus; postsynaptic density,,No,0,Apoptosis,C,Peptidases and inhibitors,1,38.6,53.4787061,0.33
P42771,CDKN2A,CDK4I,Cyclin-dependent kinase inhibitor 2A,17,156,1,1,tumor_suppressor,,cytoplasm; cytosol; nucleolus; nucleus; senescence-associated heterochromatin focus,,No,0,Cell cycle,C,,1,43.6,89.56086983,0.71
P46531,NOTCH1,Notch 1,Neurogenic locus notch homolog protein 1,273,2555,45,2,both,EGF-like 1; EGF-like 2; EGF-like 3,acrosomal vesicle; adherens junction; apical plasma membrane; cell surface; cytosol; endoplasmic reticulum membrane; endosome membrane; extracellular region; glutamatergic synapse; Golgi membrane; late endosome membrane; MAML1-RBP-Jkappa- ICN1 complex; nucleoplasm; nucleus; plasma membrane; postsynaptic density membrane; receptor complex; Schaffer collateral - CA1 synapse,,Yes,1,Angiogenesis; Differentiation; Notch signaling pathway; Transcription; Transcription regulation,N,,0,58.9,2.692608879,0.37
P46937,YAP1,Yes-associated protein 1,Transcriptional coactivator YAP1,54,504,8,1,both,WW 1; WW 2; Disordered,bicellular tight junction; cell junction; cell-cell junction; cytoplasm; cytosol; female germ cell nucleus; mitochondrion; nucleoplasm; nucleus; plasma membrane; TEAD-YAP complex,,No,0,Transcription; Transcription regulation,Y,,1,92.9,34.32925727,0.21
P56704,WNT3A,WNT3A,Protein Wnt-3a,39,352,0,0,unknown,,cell surface; early endosome membrane; endocytic vesicle membrane; endoplasmic reticulum lumen; extracellular exosome; extracellular region; extracellular space; glutamatergic synapse; Golgi lumen; plasma membrane; presynapse; Wnt-Frizzled-LRP5/6 complex,,No,0,Wnt signaling pathway,W,Glycosaminoglycan binding proteins,0,29.0,20.66742967,0.93
Q00987,MDM2,Hdm2,E3 ubiquitin-protein ligase Mdm2,55,491,16,1,oncogene,SWIB/MDM2; Necessary for interaction with USP2; Sufficient to promote the mitochondrial pathway of apoptosis,centriolar satellite; cytoplasm; cytosol; endocytic vesicle membrane; glutamatergic synapse; nucleolus; nucleoplasm; nucleus; plasma membrane; postsynaptic density; protein-containing complex; transcription repressor complex,,No,0,Apoptosis; Host-virus interaction; Ubl conjugation pathway,M,Membrane trafficking; Ubiquitin system,1,69.2,15.36654418,0.25
Q01094,E2F1,E2F-1,Transcription factor E2F1,47,437,11,0,both,Disordered; Cyclin A:CDK2 binding; Interaction with BIRC2/c-IAP1,centrosome; chromatin; cytoplasm; nuclear chromosome; nucleoplasm; nucleus; protein-containing complex; Rb-E2F complex; RNA polymerase II transcription regulator complex,,No,0,Apoptosis; Cell cycle; Host-virus interaction; Transcription; Transcription regulation,E,Transcription factors,3,64.3,66.86946569,0.68
Q02750,MAP2K1,MAP kinase kinase 1,Dual specificity mitogen-activated protein kinase kinase 1,43,393,3,1,unknown,Protein kinase; Disordered; RAF1-binding,axon; cell cortex; centrosome; ciliary basal body; cytosol; dendrite cytoplasm; early endosome; endoplasmic reticulum; focal adhesion; glutamatergic synapse; Golgi apparatus; intracellular membrane-bounded organelle; late endosome; microtubule; mitochondrion; nucleus; perikaryon; perinuclear region of cytoplasm; plasma membrane; postsynaptic density,,No,0,,M,Protein kinases,1,31.6,24.17926631,0.26
Q07812,BAX,Bcl2-L-4,Apoptosis regulator BAX,21,192,3,2,both,BH3; BH1; BH2,BAK complex; BAX complex; Bcl-2 family protein complex; cytoplasm; cytosol; endoplasmic reticulum; endoplasmic reticulum membrane; extracellular exosome; membrane; mitochondrial outer membrane; mitochondrial permeability transition pore complex; mitochondrion; nuclear envelope; nucleus; pore complex,,Yes,1,Apoptosis; Host-virus interaction,B,Mitochondrial biogenesis; Transporters,1,25.5,24.54671405,0.24
Q07817,BCL2L1,Bcl2-L-1,Bcl-2-like protein 1,26,233,5,1,oncogene,Disordered; BH4; BH3,Bcl-2 family protein complex; centrosome; cytoplasm; cytosol; endoplasmic reticulum; mitochondrial inner membrane; mitochondrial matrix; mitochondrial outer membrane; mitochondrion; nuclear membrane; synaptic vesicle membrane,,Yes,1,Apoptosis; Endocytosis,B,Protein phosphatases and associated proteins; Chromosome and associated proteins; Transporters,1,42.1,21.95650864,0.17
Q07820,MCL1,Bcl2-L-3,Induced myeloid leukemia cell differentiation protein Mcl-1,37,350,6,0,oncogene,Disordered; PEST-like; Disordered,Bcl-2 family protein complex; cytoplasm; cytosol; membrane; mitochondrial outer membrane; mitochondrion; nucleoplasm; nucleus,,Yes,1,Apoptosis; Differentiation,M,,3,58.3,50.22589001,0.25
Q13131,PRKAA1,AMPK subunit alpha-1,5'-AMP-activated protein kinase catalytic subunit alpha-1,64,559,3,0,tumor_suppressor,Protein kinase; AIS; Disordered,apical plasma membrane; axon; chromatin; ciliary basal body; cilium; cytoplasm; cytosol; dendrite; neuronal cell body; nuclear speck; nucleoplasm; nucleotide-activated protein kinase complex; nucleus,,No,0,Autophagy; Biological rhythms; Cholesterol biosynthesis; Cholesterol metabolism; Fatty acid biosynthesis; Fatty acid metabolism; Host-virus interaction; Lipid biosynthesis; Lipid metabolism; Steroid biosynthesis; Steroid metabolism; Sterol biosynthesis; Sterol metabolism; Transcription; Transcription regulation; Wnt signaling pathway,P,Protein kinases; Membrane trafficking; Mitochondrial biogenesis,1,41.7,17.99891573,0.2
Q13315,ATM,A-T mutated,Serine-protein kinase ATM,351,3056,8,1,tumor_suppressor,FAT; PI3K/PI4K catalytic; FATC,centrosome; chromosome; cytoplasm; cytosol; DNA repair complex; extrinsic component of synaptic vesicle membrane; intracellular membrane-bounded organelle; nucleolus; nucleoplasm; nucleus; peroxisomal matrix; site of double-strand break; spindle,,No,0,Cell cycle; DNA damage,A,Protein kinases; DNA replication proteins; Chromosome and associated proteins; DNA repair and recombination proteins,3,20.0,42.0998735,0.36
Q13535,ATR,ATR,Serine/threonine-protein kinase ATR,301,2644,7,0,tumor_suppressor,FAT; PI3K/PI4K catalytic; FATC,ATR-ATRIP complex; chromosome; Golgi apparatus; nuclear envelope; nucleoplasm; nucleus; PML body; site of DNA damage,,No,0,DNA damage; DNA repair,A,Protein kinases; DNA repair and recombination proteins,3,16.9,2.596229143,0.38
Q15116,PDCD1,Protein PD-1,Programmed cell death protein 1,32,288,7,2,unknown,Ig-like V-type; Nivolumab binding; Interaction with CD274/PDCD1L1,external side of plasma membrane; plasma membrane,,Yes,1,Adaptive immunity; Apoptosis; Immunity,P,CD molecules,1,58.7,55.35811096,0.82
Q15465,SHH,SHH,Sonic hedgehog protein,50,462,3,1,unknown,Disordered; Disordered; Cardin-Weintraub,cell surface; collagen-containing extracellular matrix; cytosol; endoplasmic reticulum; endoplasmic reticulum lumen; endoplasmic reticulum membrane; extracellular region; extracellular space; Golgi apparatus; Golgi membrane; membrane raft; plasma membrane,,No,0,,S,Peptidases and inhibitors; Glycosaminoglycan binding proteins,0,62.1,23.42027589,0.79
Q16236,NFE2L2,NF-E2-related factor 2,Nuclear factor erythroid 2-related factor 2,68,605,8,1,unknown,bZIP; Disordered; Basic motif,centrosome; chromatin; ciliary basal body; cytoplasm; cytosol; Golgi apparatus; mediator complex; nucleoplasm; nucleus; plasma membrane; protein-DNA complex; RNA polymerase II transcription regulator complex,,No,0,Host-virus interaction; Transcription; Transcription regulation,N,Transcription factors; Mitochondrial biogenesis,1,100.0,58.87597133,0.2
Q16611,BAK1,Bcl2-L-7,Bcl-2 homologous antagonist/killer,23,211,4,1,unknown,Disordered; BH3; BH1,BAK complex; Bcl-2 family protein complex; cytosol; endoplasmic reticulum; mitochondrial outer membrane; mitochondrion; pore complex,,Yes,1,Apoptosis; Host-virus interaction,B,Mitochondrial biogenesis; Transporters,2,27.0,65.85145473,0.32
Q8N726,CDKN2A,ARF,Tumor suppressor ARF,14,132,2,1,tumor_suppressor,Interaction with CDK5RAP3 and MDM2; Disordered,cytosol; mitochondrial matrix; mitochondrion; nucleolus; nucleoplasm; nucleus; protein-containing complex,,No,0,Apoptosis; Cell cycle; rRNA processing; Transcription; Transcription regulation; Ubl conjugation pathway,C,,3,100.0,89.56086983,0.71
Q8TDV0,GPR151,GalRL,G-protein coupled receptor 151,47,419,1,15,unknown,Disordered,cholinergic synapse; plasma membrane; presynaptic membrane; synaptic vesicle membrane,,Yes,7,,G,G protein-coupled receptors,1,35.8,96.04240708,
Q96EB6,SIRT1,hSIRT1,NAD-dependent protein deacetylase sirtuin-1,82,747,14,2,both,Deacetylase sirtuin-type; Disordered; Interaction with H1-4,chromatin; chromatin silencing complex; cytoplasm; cytosol; eNoSc complex; euchromatin; fibrillar center; heterochromatin; mitochondrion; nuclear envelope; nuclear inner membrane; nucleolus; nucleoplasm; nucleus; PML body; rDNA heterochromatin,,No,0,Apoptosis; Biological rhythms; Differentiation; Host-virus interaction; Myogenesis; Transcription; Transcription regulation,S,Chromosome and associated proteins; Mitochondrial biogenesis,3,54.9,18.08927173,0.23
Q9GZV5,WWTR1,WWTR1,WW domain-containing transcription regulator protein 1,44,400,4,0,oncogene,WW; Disordered; Required for interaction with PALS1,bicellular tight junction; cytoplasm; cytosol; nuclear body; nucleoplasm; nucleus; plasma membrane; transcription regulator complex,,No,0,Transcription; Transcription regulation,W,,1,92.5,76.1098729,0.26
Q9NZQ7,CD274,PD-L1,Programmed cell death 1 ligand 1,33,290,2,1,unknown,Ig-like V-type; Ig-like C2-type,actin cytoskeleton; early endosome membrane; external side of plasma membrane; extracellular exosome; nucleoplasm; plasma membrane; recycling endosome membrane,,Yes,1,Adaptive immunity; Immunity,C,CD molecules,1,38.6,38.5579182,0.56
Q9UM47,NOTCH3,Notch 3,Neurogenic locus notch homolog protein 3,244,2321,37,3,tumor_suppressor,EGF-like 1; EGF-like 2; EGF-like 3,cell surface; cytosol; endoplasmic reticulum membrane; extracellular region; Golgi membrane; nucleoplasm; plasma membrane; receptor complex,,Yes,1,Differentiation; Notch signaling pathway; Transcription; Transcription regulation,N,,0,63.5,39.51569183,0.34
